time,nor,nor_mle,lte,lte_mle,ste,ste_mle
2025-10-16 10:00:00+00:00,511.6,91,847.5,91,941.0,91
2025-10-16 11:00:00+00:00,566.7,42,916.4,42,1014.2,42
2025-10-16 12:00:00+00:00,627.3,75,990.6,75,1092.6,75
2025-10-16 13:00:00+00:00,689.1,3,1076.9,3,1185.6,3
2025-10-16 14:00:00+00:00,739.7,3,1135.2,3,1246.7,3
2025-10-16 15:00:00+00:00,803.2,16,1184.3,16,1293.6,16
2025-10-16 16:00:00+00:00,824.9,70,1204.4,70,1313.7,70
2025-10-16 17:00:00+00:00,823.7,95,1200.2,95,1308.8,95
2025-10-16 18:00:00+00:00,808.0,3,1177.0,3,1283.6,3
2025-10-16 19:00:00+00:00,787.9,3,1151.1,3,1256.0,3
2025-10-16 20:00:00+00:00,819.1,3,1188.1,3,1294.9,3
2025-10-16 21:00:00+00:00,802.4,95,1166.3,95,1271.7,95
2025-10-16 22:00:00+00:00,723.7,12,1068.5,12,1168.1,12
2025-10-16 23:00:00+00:00,681.9,7,1017.5,7,1114.4,7
2025-10-17 00:00:00+00:00,673.4,8,1006.3,8,1102.4,8
2025-10-17 01:00:00+00:00,602.4,8,922.4,8,1014.3,8
2025-10-17 02:00:00+00:00,543.7,7,855.7,7,944.8,7
2025-10-17 03:00:00+00:00,514.8,8,823.5,8,911.4,8
2025-10-17 04:00:00+00:00,558.4,8,872.3,8,962.0,8
2025-10-17 05:00:00+00:00,614.3,8,943.4,8,1037.6,8
2025-10-17 06:00:00+00:00,644.7,7,989.1,7,1087.3,7
2025-10-17 07:00:00+00:00,639.8,7,997.8,7,1099.0,7
2025-10-17 08:00:00+00:00,725.2,8,1111.4,8,1220.5,8
2025-10-17 09:00:00+00:00,750.4,33,1128.5,33,1236.2,33
2025-10-17 10:00:00+00:00,754.9,33,1141.1,33,1250.7,33
2025-10-17 11:00:00+00:00,790.7,33,1184.1,33,1296.1,33
2025-10-17 12:00:00+00:00,836.9,14,1255.9,33,1371.8,33
2025-10-17 13:00:00+00:00,833.1,7,1249.8,7,1367.9,7
2025-10-17 14:00:00+00:00,874.3,8,1289.5,8,1407.9,8
2025-10-17 15:00:00+00:00,908.1,8,1316.9,8,1434.4,8
2025-10-17 16:00:00+00:00,835.1,8,1218.3,8,1328.7,8
2025-10-17 17:00:00+00:00,840.5,14,1221.1,14,1330.9,14
2025-10-17 18:00:00+00:00,828.4,7,1204.7,7,1313.3,7
2025-10-17 19:00:00+00:00,804.2,7,1172.3,7,1278.6,7
2025-10-17 20:00:00+00:00,799.9,8,1164.5,8,1270.0,8
2025-10-17 21:00:00+00:00,767.4,8,1122.5,8,1225.2,8
2025-10-17 22:00:00+00:00,706.1,2,1047.4,2,1146.0,2
2025-10-17 23:00:00+00:00,680.5,4,1015.8,4,1112.6,4
2025-10-18 00:00:00+00:00,640.2,4,967.3,4,1061.5,4
2025-10-18 01:00:00+00:00,598.3,4,917.7,4,1009.4,4
2025-10-18 02:00:00+00:00,647.0,1,974.2,1,1068.6,1
2025-10-18 03:00:00+00:00,499.5,1,811.5,1,902.2,1
2025-10-18 04:00:00+00:00,524.1,1,837.8,1,929.5,1
2025-10-18 05:00:00+00:00,518.8,1,832.6,1,924.9,1
2025-10-18 06:00:00+00:00,675.0,4,1026.4,4,1126.7,4
2025-10-18 07:00:00+00:00,673.6,2,1034.7,2,1137.2,2
2025-10-18 08:00:00+00:00,750.6,2,1137.0,2,1246.7,2
2025-10-18 09:00:00+00:00,736.4,83,1111.2,83,1217.9,83
2025-10-18 10:00:00+00:00,669.5,59,1035.0,59,1138.3,59
